"","TXNAME","GENEID","ENTREZID","SYMBOL","TXCHROM"
"1","ENSRNOT00000055633","ENSRNOG00000000001","UNKNOWN_ENSRNOG00000000001","UNKNOWN_ENSRNOG00000000001","2"
"2","ENSRNOT00000000008","ENSRNOG00000000007","24379","Gad1","3"
"3","ENSRNOT00000084375","ENSRNOG00000000007","24379","Gad1","3"
"4","ENSRNOT00000087712","ENSRNOG00000000007","24379","Gad1","3"
"5","ENSRNOT00000087134","ENSRNOG00000000007","24379","Gad1","3"
"6","ENSRNOT00000000009","ENSRNOG00000000008","296511","Alx4","3"
"7","ENSRNOT00000000010","ENSRNOG00000000009","366158","Tmco5b","3"
"8","ENSRNOT00000000011","ENSRNOG00000000010","498922","Cbln1","19"
"9","ENSRNOT00000000013","ENSRNOG00000000012","296272","Tcf15","3"
"10","ENSRNOT00000000018","ENSRNOG00000000017","297738","Steap1","4"
"11","ENSRNOT00000000022","ENSRNOG00000000021","UNKNOWN_ENSRNOG00000000021","UNKNOWN_ENSRNOG00000000021","4"
"12","ENSRNOT00000000025","ENSRNOG00000000024","362454","Hebp1","4"
"13","ENSRNOT00000000036","ENSRNOG00000000033","305095","Tmcc2","13"
"14","ENSRNOT00000000039","ENSRNOG00000000034","289419","Nuak2","13"
"15","ENSRNOT00000000040","ENSRNOG00000000035","689712","Tmed11","14"
"16","ENSRNOT00000000041","ENSRNOG00000000036","305096","Klhdc8a","13"
"17","ENSRNOT00000093471","ENSRNOG00000000040","305101","RGD1304622","13"
"18","ENSRNOT00000093726","ENSRNOG00000000040","305101","RGD1304622","13"
"19","ENSRNOT00000004704","ENSRNOG00000000040","305101","RGD1304622","13"
"20","ENSRNOT00000093563","ENSRNOG00000000040","305101","RGD1304622","13"
"21","ENSRNOT00000093309","ENSRNOG00000000040","305101","RGD1304622","13"
"22","ENSRNOT00000000047","ENSRNOG00000000041","64076","Slc26a1","14"
"23","ENSRNOT00000000049","ENSRNOG00000000042","289424","Xpr1","13"
"24","ENSRNOT00000081892","ENSRNOG00000000042","289424","Xpr1","13"
"25","ENSRNOT00000093410","ENSRNOG00000000042","289424","Xpr1","13"
"26","ENSRNOT00000000048","ENSRNOG00000000043","360904","Idua","14"
"27","ENSRNOT00000000050","ENSRNOG00000000044","305623","Tmem175","14"
"28","ENSRNOT00000000052","ENSRNOG00000000047","83628","Cd82","3"
"29","ENSRNOT00000000064","ENSRNOG00000000048","81659","Gak","14"
"30","ENSRNOT00000091089","ENSRNOG00000000053","25419","Crp","13"
"31","ENSRNOT00000000058","ENSRNOG00000000053","25419","Crp","13"
"32","ENSRNOT00000000060","ENSRNOG00000000054","306338","Abhd8","16"
"33","ENSRNOT00000000059","ENSRNOG00000000055","305103","Fcrl6","13"
"34","ENSRNOT00000061720","ENSRNOG00000000060","64832","Cplx1","14"
"35","ENSRNOT00000000071","ENSRNOG00000000062","305624","Pcgf3","14"
"36","ENSRNOT00000000072","ENSRNOG00000000064","140608","Atp5me","14"
"37","ENSRNOT00000000077","ENSRNOG00000000065","289878","Pde6b","14"
"38","ENSRNOT00000000074","ENSRNOG00000000066","305105","Fbxo28","13"
"39","ENSRNOT00000000078","ENSRNOG00000000068","312754","Ppp2r5a","13"
"40","ENSRNOT00000000080","ENSRNOG00000000070","100910207","LOC100910207","14"
"41","ENSRNOT00000000083","ENSRNOG00000000073","289883","Tmed5","14"
"42","ENSRNOT00000000086","ENSRNOG00000000075","360905","Mtf2","14"
"43","ENSRNOT00000000092","ENSRNOG00000000081","305633","Antxr2","14"
"44","ENSRNOT00000064828","ENSRNOG00000000082","295568","Hltf","2"
"45","ENSRNOT00000090912","ENSRNOG00000000082","295568","Hltf","2"
"46","ENSRNOT00000000102","ENSRNOG00000000091","85435","Smad9","2"
"47","ENSRNOT00000000106","ENSRNOG00000000095","362003","Gpr89b","2"
"48","ENSRNOT00000000107","ENSRNOG00000000096","65144","Pdzk1","2"
"49","ENSRNOT00000091578","ENSRNOG00000000096","65144","Pdzk1","2"
"50","ENSRNOT00000000109","ENSRNOG00000000097","502585","Cd160","2"
"51","ENSRNOT00000073913","ENSRNOG00000000097","502585","Cd160","2"
"52","ENSRNOT00000000110","ENSRNOG00000000098","362002","Rnf115","2"
"53","ENSRNOT00000000116","ENSRNOG00000000104","290519","Thoc3","17"
"54","ENSRNOT00000091046","ENSRNOG00000000105","116657","Cplx2","17"
"55","ENSRNOT00000000117","ENSRNOG00000000105","116657","Cplx2","17"
"56","ENSRNOT00000000120","ENSRNOG00000000108","290923","Aga","16"
"57","ENSRNOT00000000121","ENSRNOG00000000109","66017","Fgf20","16"
"58","ENSRNOT00000000123","ENSRNOG00000000111","290925","Coprs","16"
"59","ENSRNOT00000000124","ENSRNOG00000000112","306647","Champ1","16"
"60","ENSRNOT00000000125","ENSRNOG00000000113","307604","Elac1","18"
"61","ENSRNOT00000081841","ENSRNOG00000000121","366478","Pigv","5"
"62","ENSRNOT00000000133","ENSRNOG00000000121","366478","Pigv","5"
"63","ENSRNOT00000000134","ENSRNOG00000000122","24184","Ak2","5"
"64","ENSRNOT00000089457","ENSRNOG00000000123","313806","Rnf19b","5"
"65","ENSRNOT00000066268","ENSRNOG00000000123","313806","Rnf19b","5"
"66","ENSRNOT00000000136","ENSRNOG00000000124","103690615","LOC103690615","9"
"67","ENSRNOT00000087556","ENSRNOG00000000127","362607","Kpna6","5"
"68","ENSRNOT00000000139","ENSRNOG00000000127","362607","Kpna6","5"
"69","ENSRNOT00000000141","ENSRNOG00000000129","500446","Phf24","5"
"70","ENSRNOT00000000142","ENSRNOG00000000130","313811","Dnajb5","5"
"71","ENSRNOT00000080082","ENSRNOG00000000130","313811","Dnajb5","5"
"72","ENSRNOT00000000146","ENSRNOG00000000133","307180","Txndc15","17"
"73","ENSRNOT00000000149","ENSRNOG00000000137","291359","Ly86","17"
"74","ENSRNOT00000032433","ENSRNOG00000000138","298732","Glis1","5"
"75","ENSRNOT00000075624","ENSRNOG00000000138","298732","Glis1","5"
"76","ENSRNOT00000000155","ENSRNOG00000000142","361282","Plxdc2","17"
"77","ENSRNOT00000000157","ENSRNOG00000000145","60664","Pik3r3","5"
"78","ENSRNOT00000000162","ENSRNOG00000000150","100360412","Dnajc1","17"
"79","ENSRNOT00000000163","ENSRNOG00000000151","500564","Ldlrap1","5"
"80","ENSRNOT00000000168","ENSRNOG00000000155","361073","Cog3","15"
"81","ENSRNOT00000055386","ENSRNOG00000000156","65049","Megf6","5"
"82","ENSRNOT00000091417","ENSRNOG00000000156","65049","Megf6","5"
"83","ENSRNOT00000000169","ENSRNOG00000000156","65049","Megf6","5"
"84","ENSRNOT00000000170","ENSRNOG00000000157","361321","Atg12","18"
"85","ENSRNOT00000000172","ENSRNOG00000000158","81718","Cdo1","18"
"86","ENSRNOT00000000174","ENSRNOG00000000161","24942","Chm","X"
"87","ENSRNOT00000088570","ENSRNOG00000000161","24942","Chm","X"
"88","ENSRNOT00000000177","ENSRNOG00000000164","24944","Lamp2","X"
"89","ENSRNOT00000033656","ENSRNOG00000000165","24638","Pfkfb1","X"
"90","ENSRNOT00000000178","ENSRNOG00000000165","24638","Pfkfb1","X"
"91","ENSRNOT00000081239","ENSRNOG00000000165","24638","Pfkfb1","X"
"92","ENSRNOT00000068703","ENSRNOG00000000166","317628","Apex2","X"
"93","ENSRNOT00000000180","ENSRNOG00000000167","25748","Alas2","X"
"94","ENSRNOT00000000181","ENSRNOG00000000168","81660","Gatm","3"
